$p$,$r$,$N$,data,error
0.0,0.12,168,56.0,0.0
0.0,0.12,204,68.0,0.0
0.0,0.12,252,84.0,0.0
0.0,0.12,300,100.0,0.0
0.0,0.12,372,124.0,0.0
0.0,0.13,60,19.9984875,0.0003843888133790898
0.0,0.13,72,23.9997436445204,0.00017419879469024054
0.0,0.13,84,27.999875410108395,9.285816488783852e-05
0.0,0.13,108,36.0,0.0
0.0,0.13,132,44.0,0.0
0.0,0.13,168,56.0,0.0
0.0,0.13,204,68.0,0.0
0.0,0.13,252,84.0,0.0
0.0,0.13,300,100.0,0.0
0.0,0.13,372,124.0,0.0
0.0,0.14,60,19.998675,0.00036720283399250907
0.0,0.14,72,23.99949797051912,0.00021277505636111685
0.0,0.14,84,27.999875410108395,0.00011988594874525767
0.0,0.14,108,35.99996033949393,3.9660506068058156e-05
0.0,0.14,132,44.0,0.0
0.0,0.14,168,56.0,0.0
0.0,0.14,204,68.0,0.0
0.0,0.14,252,84.0,0.0
0.0,0.14,300,100.0,0.0
0.0,0.14,372,124.0,0.0
0.0,0.15,60,19.9978875,0.0004434012233175327
0.0,0.15,72,23.99959410382397,0.0002076403896744994
0.0,0.15,84,27.999764663538073,0.0001547575732569546
0.0,0.15,108,36.00001983025303,1.9830253034028187e-05
0.0,0.15,132,44.0,0.0
0.0,0.15,168,56.0,0.0
0.0,0.15,204,68.0,0.0
0.0,0.15,252,84.0,0.0
0.0,0.15,300,100.0,0.0
0.0,0.15,372,124.0,0.0
0.0,0.16,60,19.9979875,0.0003961747465677001
0.0,0.16,72,23.99956205938902,0.00019893303302838598
0.0,0.16,84,27.999847723465813,0.00012458520633194814
0.0,0.16,108,35.99992067898786,7.932101213611441e-05
0.0,0.16,132,44.0,0.0
0.0,0.16,168,56.0,0.0
0.0,0.16,204,68.0,0.0
0.0,0.16,252,84.0,0.0
0.0,0.16,300,100.0,0.0
0.0,0.16,372,124.0,0.0
0.0,0.17,60,19.9979,0.00045022690993213905
0.0,0.17,72,23.999423200170906,0.00020483048768112452
0.0,0.17,84,27.99969544693163,0.00013273738369721496
0.0,0.17,108,36.0,0.0
0.0,0.17,132,44.0,0.0
0.0,0.17,168,56.0,0.0
0.0,0.17,204,68.0,0.0
0.0,0.17,252,84.0,0.0
0.0,0.17,300,100.0,0.0
0.0,0.17,372,124.0,0.0
0.0,0.18,60,19.9982375,0.0004484592745691575
0.0,0.18,72,23.999380474257638,0.0002108563587806504
0.0,0.18,84,27.999820036823234,0.00012303145626564027
0.0,0.18,108,36.0,0.0
0.0,0.18,132,44.0,0.0
0.0,0.18,168,56.0,0.0
0.0,0.18,204,68.0,0.0
0.0,0.18,252,84.0,0.0
0.0,0.18,300,100.0,0.0
0.0,0.18,372,124.0,0.0
0.0,0.19,60,19.9980875,0.0004529056156912537
0.0,0.19,72,23.999337748344374,0.00024018923600235077
0.0,0.19,84,27.999889253429686,0.00010722936125108848
0.0,0.19,108,35.99992067898786,7.932101213611435e-05
0.0,0.19,132,44.0,0.0
0.0,0.19,168,56.0,0.0
0.0,0.19,204,68.0,0.0
0.0,0.19,252,84.0,0.0
0.0,0.19,300,100.0,0.0
0.0,0.19,372,124.0,0.0
0.0,0.2,60,19.99845,0.00041279751716673355
0.0,0.2,72,23.999295022431102,0.0002540295233927339
0.0,0.2,84,28.000041529963866,6.921997970048238e-05
0.0,0.2,108,36.0,0.0
0.0,0.2,132,44.0,0.0
0.0,0.2,168,56.0,0.0
0.0,0.2,204,68.0,0.0
0.0,0.2,252,84.0,0.0
0.0,0.2,300,100.0,0.0
0.0,0.2,372,124.0,0.0
0.0,0.21,60,19.9979125,0.00045523752975325997
0.0,0.21,72,23.999765007477034,0.00018189252156799426
0.0,0.21,84,27.99994462671484,9.98308720462199e-05
0.0,0.21,108,36.0,0.0
0.0,0.21,132,44.0,0.0
0.0,0.21,168,56.0,0.0
0.0,0.21,204,68.0,0.0
0.0,0.21,252,84.0,0.0
0.0,0.21,300,100.0,0.0
0.0,0.21,372,124.0,0.0
0.0,0.22,60,19.99805,0.0003956139545568414
0.0,0.22,72,23.999562059389017,0.00021492442702162812
0.0,0.22,84,28.00004152996387,0.00011665365489657337
0.0,0.22,108,35.99998016974697,1.9830253034028177e-05
0.0,0.22,132,44.0,0.0
0.0,0.22,168,56.0,0.0
0.0,0.22,204,68.0,0.0
0.0,0.22,252,84.0,0.0
0.0,0.22,300,100.0,0.0
0.0,0.22,372,124.0,0.0
0.0,0.23,60,19.9977,0.0004427788446962343
0.0,0.23,72,23.999284340952787,0.00021324551059709006
0.0,0.23,84,28.00005537328516,8.971920478231486e-05
0.0,0.23,108,35.99994050924089,5.9490759102085865e-05
0.0,0.23,132,44.0,0.0
0.0,0.23,168,56.0,0.0
0.0,0.23,204,68.0,0.0
0.0,0.23,252,84.0,0.0
0.0,0.23,300,100.0,0.0
0.0,0.23,372,124.0,0.0
0.0,0.24,60,19.998025,0.00043546400584897993
0.0,0.24,72,23.999647511215553,0.00017516074335765098
0.0,0.24,84,27.999861566787104,0.00011581775560171114
0.0,0.24,108,35.99998016974697,4.434671901936114e-05
0.0,0.24,132,44.0,0.0
0.0,0.24,168,56.0,0.0
0.0,0.24,204,68.0,0.0
0.0,0.24,252,84.0,0.0
0.0,0.24,300,100.0,0.0
0.0,0.24,372,124.0,0.0
0.0,0.25,60,19.9981875,0.00044878767297302363
0.0,0.25,72,23.999807733390302,0.00016269198449137887
0.0,0.25,84,27.999875410108395,0.00017997031252371616
0.0,0.25,108,36.0,0.0
0.0,0.25,132,44.0,0.0
0.0,0.25,168,56.0,0.0
0.0,0.25,204,68.0,0.0
0.0,0.25,252,84.0,0.0
0.0,0.25,300,100.0,0.0
0.0,0.25,372,124.0,0.0
0.0,0.26,60,19.99775,0.0005054273396637442
0.0,0.26,72,23.999562059389017,0.00020234531286124382
0.0,0.26,84,27.999861566787104,9.787960921020145e-05
0.0,0.26,108,35.99998016974697,4.434671901936078e-05
0.0,0.26,132,44.0,0.0
0.0,0.26,168,56.0,0.0
0.0,0.26,204,68.0,0.0
0.0,0.26,252,84.0,0.0
0.0,0.26,300,100.0,0.0
0.0,0.26,372,124.0,0.0
0.0,0.27,60,19.9979125,0.00044341306463566166
0.0,0.27,72,23.99958342234565,0.00024657665918554445
0.0,0.27,84,27.99994462671484,0.00013705062066441724
0.0,0.27,108,35.99994050924089,5.9490759102085947e-05
0.0,0.27,132,44.0,0.0
0.0,0.27,168,56.0,0.0
0.0,0.27,204,68.0,0.0
0.0,0.27,252,84.0,0.0
0.0,0.27,300,100.0,0.0
0.0,0.27,372,124.0,0.0
0.0,0.28,60,19.9985875,0.00046399435713308435
0.0,0.28,72,23.99922025208289,0.0002564650218870073
0.0,0.28,84,27.999820036823234,0.00015844055423369204
0.0,0.28,108,36.0,0.0
0.0,0.28,132,44.0,0.0
0.0,0.28,168,56.0,0.0
0.0,0.28,204,68.0,0.0
0.0,0.28,252,84.0,0.0
0.0,0.28,300,100.0,0.0
0.0,0.28,372,124.0,0.0
0.0,0.29,60,19.998175,0.0004538034059514378
0.0,0.29,72,23.99946592608417,0.00022297941241006524
0.0,0.29,84,27.999847723465813,0.00010987025295614026
0.0,0.29,108,36.00001983025303,1.9830253034028228e-05
0.0,0.29,132,44.0,0.0
0.0,0.29,168,56.0,0.0
0.0,0.29,204,68.0,0.0
0.0,0.29,252,84.0,0.0
0.0,0.29,300,100.0,0.0
0.0,0.29,372,124.0,0.0
0.0,0.3,60,19.997775,0.0004270078114825358
0.0,0.3,72,23.999284340952787,0.00021484479233468664
0.0,0.3,84,27.999889253429686,0.00011746547017060667
0.0,0.3,108,36.0,0.0
0.0,0.3,132,44.0,0.0
0.0,0.3,168,56.0,0.0
0.0,0.3,204,68.0,0.0
0.0,0.3,252,84.0,0.0
0.0,0.3,300,100.0,0.0
0.0,0.3,372,124.0,0.0
0.0,0.31,60,19.9989125,0.0004294548026483731
0.0,0.31,72,23.999252296517838,0.00024346557183059728
0.0,0.31,84,27.999930783393555,7.454934963433782e-05
0.0,0.31,108,36.00001983025303,1.9830253034028187e-05
0.0,0.31,132,44.0,0.0
0.0,0.31,168,56.0,0.0
0.0,0.31,204,68.0,0.0
0.0,0.31,252,84.0,0.0
0.0,0.31,300,100.0,0.0
0.0,0.31,372,124.0,0.0
0.0,0.32,60,19.9973375,0.0005072332677711452
0.0,0.32,72,23.999359111301004,0.00023393820267290116
0.0,0.32,84,27.99994462671484,0.00012226830337837643
0.0,0.32,108,36.0,0.0
0.0,0.32,132,44.0,0.0
0.0,0.32,168,56.0,0.0
0.0,0.32,204,68.0,0.0
0.0,0.32,252,84.0,0.0
0.0,0.32,300,100.0,0.0
0.0,0.32,372,124.0,0.0
0.0,0.33,60,19.9988875,0.0004198810717172642
0.0,0.33,72,23.999049348429825,0.00027111240278565477
