$p$,$r$,$N$,data,error
0.04,0.12,84,17.062904051940144,0.03679888061652062
0.04,0.12,108,20.740937574363446,0.05378769265552414
0.04,0.12,132,24.506552125800816,0.07300559297044304
0.04,0.12,168,30.22500000000001,0.1849354090564314
0.04,0.12,204,35.43502024291498,0.2885208815100448
0.04,0.12,252,43.632026627218934,0.33952528577804525
0.04,0.12,300,49.81828493647913,0.41988576407766454
0.04,0.12,372,60.42792927779442,0.63158845822967
0.04,0.13,60,13.1946625,0.024784635818923033
0.04,0.13,72,15.205725272377697,0.027830465039434146
0.04,0.13,84,17.120630701717953,0.036459737812114014
0.04,0.13,108,21.045312128182747,0.056027535294639184
0.04,0.13,132,24.68460007765482,0.07275748568952643
0.04,0.13,168,30.33560606060604,0.17698010339137224
0.04,0.13,204,35.40668016194329,0.2640094337377675
0.04,0.13,252,43.37925295857988,0.3138029918937822
0.04,0.13,300,50.74455535390201,0.42963287381643694
0.04,0.13,372,62.672759964039535,0.584535425583474
0.04,0.14,60,13.1393375,0.02526253984561569
0.04,0.14,72,15.203300576799828,0.027741198143752775
0.04,0.14,84,17.2019740576159,0.036328425063140386
0.04,0.14,108,21.05370032521615,0.053871863492686606
0.04,0.14,132,24.974155503785674,0.07356829533897184
0.04,0.14,168,30.538257575757587,0.16839453321885445
0.04,0.14,204,36.06862348178138,0.2766530808728992
0.04,0.14,252,43.53439349112426,0.2866674602506332
0.04,0.14,300,52.07509074410165,0.4752669855587631
0.04,0.14,372,62.655079412646074,0.5641530583470622
0.04,0.15,60,13.196825,0.025131798138320026
0.04,0.15,72,15.251858577227091,0.027680161416792942
0.04,0.15,84,17.18696789733793,0.036805305054076566
0.04,0.15,108,21.083703498056618,0.05345039945464684
0.04,0.15,132,24.973306154144815,0.07012115237259076
0.04,0.15,168,30.24971590909091,0.17872921628277794
0.04,0.15,204,36.54433198380568,0.2727559820813415
0.04,0.15,252,44.34116124260355,0.2954452636040283
0.04,0.15,300,52.384301270417424,0.44844710066846016
0.04,0.15,372,63.687144141444406,0.5853985305796376
0.04,0.16,60,13.1292,0.0246277691580332
0.04,0.16,72,15.223499252296515,0.028057533427275263
0.04,0.16,84,17.27566205684067,0.03621160715596745
0.04,0.16,108,21.14115174109621,0.054063210670399264
0.04,0.16,132,25.128494467093784,0.06915910218762392
0.04,0.16,168,30.89753787878791,0.17135474824458483
0.04,0.16,204,37.06032388663967,0.2943204745414081
0.04,0.16,252,44.67862426035503,0.29547550366171216
0.04,0.16,300,52.54809437386572,0.3704572071762765
0.04,0.16,372,63.73898711417442,0.5905292920871249
0.04,0.17,60,13.2018625,0.024871312140217542
0.04,0.17,72,15.23400982696005,0.028349833851243844
0.04,0.17,84,17.160291817212794,0.0362754835643251
0.04,0.17,108,21.184798128024124,0.05455311688489092
0.04,0.17,132,25.034143855562032,0.07123127573650383
0.04,0.17,168,31.059564393939386,0.17433136738702767
0.04,0.17,204,36.57611336032388,0.28515057586962295
0.04,0.17,252,44.80085059171598,0.3381624292914313
0.04,0.17,300,51.63203266787659,0.39119216254897377
0.04,0.17,372,64.4303266406952,0.5436049546869144
0.04,0.18,60,13.141575,0.025153084695608813
0.04,0.18,72,15.254315317239902,0.028322418732522316
0.04,0.18,84,17.210280050389688,0.03619908488238647
0.04,0.18,108,21.250535416831916,0.05452608994328119
0.04,0.18,132,25.23311007571345,0.0717981490359318
0.04,0.18,168,31.186742424242436,0.17107713964867946
0.04,0.18,204,37.34838056680163,0.2887229615451887
0.04,0.18,252,45.477440828402365,0.34068671272711354
0.04,0.18,300,52.92377495462793,0.38144489999716913
0.04,0.18,372,64.66766556787535,0.5644891798690509
0.04,0.19,60,13.155275,0.02517148963264854
0.04,0.19,72,15.18527024140141,0.02804848901353698
0.04,0.19,84,17.225064717527037,0.035810504573805454
0.04,0.19,108,21.280776552708833,0.05457951724855776
0.04,0.19,132,25.096025043680843,0.07067825994154601
0.04,0.19,168,31.21742424242425,0.17240177143718843
0.04,0.19,204,36.68967611336033,0.2821443104003041
0.04,0.19,252,45.46985946745562,0.299755522829843
0.04,0.19,300,52.15471869328493,0.4483135234421533
0.04,0.19,372,65.00899011087805,0.5823271562154263
0.04,0.2,60,13.1237875,0.025087194362193463
0.04,0.2,72,15.231734672078616,0.02795367511115443
0.04,0.2,84,17.274637651065245,0.036313643917250345
0.04,0.2,108,21.252815895930837,0.05419592750244804
0.04,0.2,132,25.23757522811104,0.07034623193009461
0.04,0.2,168,31.008238636363604,0.18198178251688216
0.04,0.2,204,37.54757085020242,0.2790745247348008
0.04,0.2,252,44.999815088757394,0.2947449922174025
0.04,0.2,300,53.59891107078039,0.37389473265035217
0.04,0.2,372,64.86364998501648,0.5805947628514994
0.04,0.21,60,13.1152375,0.024761633669036685
0.04,0.21,72,15.191657765434735,0.028193057330349432
0.04,0.21,84,17.182178108171712,0.036696845640826384
0.04,0.21,108,21.28006266359957,0.054349191771555186
0.04,0.21,132,25.367719860221314,0.06936837405578843
0.04,0.21,168,31.515435606060617,0.1707264034782855
0.04,0.21,204,37.263765182186226,0.29556635822956884
0.04,0.21,252,45.553254437869825,0.33276607192210883
0.04,0.21,300,53.090517241379324,0.39368165455473025
0.04,0.21,372,65.38028169014086,0.5511545795548263
0.04,0.22,60,13.084375,0.02533882478611934
0.04,0.22,72,15.191647083956427,0.02808301227729719
0.04,0.22,84,17.237412960117382,0.0358365663466467
0.04,0.22,108,21.225172523201397,0.05332380026312331
0.04,0.22,132,25.40574645699864,0.07032453895131374
0.04,0.22,168,31.439015151515154,0.17719927936699087
0.04,0.22,204,37.24170040485828,0.28307199827033674
0.04,0.22,252,45.78864644970414,0.3111225968875001
0.04,0.22,300,54.21279491833029,0.4622637547174933
0.04,0.22,372,65.81810008990108,0.5642334366430675
0.04,0.23,60,13.0579,0.02500076399472688
0.04,0.23,72,15.154400769066438,0.028222293168719402
0.04,0.23,84,17.20457660201836,0.03652166816844978
0.04,0.23,108,21.378400888395337,0.05363676206079799
0.04,0.23,132,25.32433022714036,0.06826558849770517
0.04,0.23,168,31.279261363636348,0.1730436699947748
0.04,0.23,204,37.121255060728764,0.2696954025068469
0.04,0.23,252,45.875739644970416,0.31141406582515024
0.04,0.23,300,53.47708711433756,0.36924352881735345
0.04,0.23,372,66.17440815103386,0.5420300471815589
0.04,0.24,60,13.0625375,0.025116396948984238
0.04,0.24,72,15.13096560563982,0.027922457407887236
0.04,0.24,84,17.203718316098392,0.035838322834329514
0.04,0.24,108,21.287796462282845,0.05357758789153808
0.04,0.24,132,25.360682391768577,0.06916045853897541
0.04,0.24,168,31.820549242424228,0.15887599973440686
0.04,0.24,204,37.14170040485832,0.277002550543939
0.04,0.24,252,45.7914201183432,0.31795693703032446
0.04,0.24,300,53.86433756805804,0.36336551236432235
0.04,0.24,372,64.89631405453999,0.5199491358037074
0.04,0.25,60,13.0371125,0.025026730583692824
0.04,0.25,72,15.10479598376415,0.028154410596723814
0.04,0.25,84,17.1649431731661,0.03650992194445493
0.04,0.25,108,21.315459665265326,0.05426561812717341
0.04,0.25,132,25.295112599495244,0.07014119378232674
0.04,0.25,168,31.453693181818153,0.16786049451610482
0.04,0.25,204,37.670647773279356,0.270333283966007
0.04,0.25,252,45.109097633136095,0.3029182408301096
0.04,0.25,300,53.61932849364789,0.40548819190371455
0.04,0.25,372,65.77674557986218,0.5742011536689083
0.04,0.26,60,12.9552625,0.025071847939776726
0.04,0.26,72,15.08220465712455,0.02789456148293085
0.04,0.26,84,17.172404723341224,0.036550791378331636
0.04,0.26,108,21.292694534782246,0.05275986604675724
0.04,0.26,132,25.29605901766647,0.0684227674100593
0.04,0.26,168,31.52812499999999,0.16580652831632783
0.04,0.26,204,37.68967611336033,0.280566259523547
0.04,0.26,252,45.5417899408284,0.2969224854383129
0.04,0.26,300,53.70644283121598,0.4475316150291798
0.04,0.26,372,65.23853760863051,0.54791300480691
0.04,0.27,60,12.9791875,0.02523666537326774
0.04,0.27,72,15.05604571672719,0.028317122775693634
0.04,0.27,84,17.139000789069318,0.03575683039470911
0.04,0.27,108,21.16691123978742,0.05329429009960705
0.04,0.27,132,25.167467482042323,0.0701719197085139
0.04,0.27,168,31.28077651515151,0.16214754107081206
0.04,0.27,204,37.15384615384615,0.2654607346548464
0.04,0.27,252,45.700628698224854,0.32180210715892726
0.04,0.27,300,53.685344827586185,0.4093153915502964
0.04,0.27,372,64.75456997302965,0.5086164847154703
0.04,0.28,60,12.896875,0.02516483484604627
0.04,0.28,72,14.959303567613757,0.027818109174593236
0.04,0.28,84,17.084167393441028,0.03632311101088422
0.04,0.28,108,21.121222336797018,0.053419857443728215
0.04,0.28,132,25.212434478741997,0.0702146391861489
0.04,0.28,168,31.102840909090883,0.16750556635849775
0.04,0.28,204,37.76821862348177,0.2844614346189135
0.04,0.28,252,45.08043639053255,0.2919927123648211
0.04,0.28,300,52.87363883847549,0.36222100128564927
0.04,0.28,372,65.33323344321246,0.573719839973952
0.04,0.29,60,12.8604,0.024940929242815914
0.04,0.29,72,14.926190984832301,0.027665635806771425
0.04,0.29,84,17.019325276520334,0.03572012314225495
0.04,0.29,108,21.136055366066465,0.05404922637388745
0.04,0.29,132,25.156498738109114,0.06932371085200656
0.04,0.29,168,31.01723484848485,0.17049732154648894
0.04,0.29,204,37.425303643724696,0.2946718379400037
0.04,0.29,252,45.282544378698226,0.3063839050283091
0.04,0.29,300,53.55285843920146,0.4345864907602481
0.04,0.29,372,65.33952652082712,0.6179086424923159
0.04,0.3,60,12.869125,0.024917856567030192
0.04,0.3,72,14.936658833582568,0.028052821269687212
0.04,0.3,84,16.943906862134366,0.03672095199157134
0.04,0.3,108,21.146208455619906,0.05351315230530654
0.04,0.3,132,25.190666860803727,0.06992283968465034
0.04,0.3,168,31.26865530303031,0.16618114697234557
0.04,0.3,204,37.21052631578947,0.26405022560162955
0.04,0.3,252,45.61390532544379,0.3335341796922341
0.04,0.3,300,53.8296279491833,0.41840737518593124
0.04,0.3,372,64.7350913994606,0.5234726753593728
0.04,0.31,60,12.8213375,0.025576168915633454
0.04,0.31,72,14.885377056184572,0.028590373115673893
0.04,0.31,84,16.97942882456358,0.035825589031667895
0.04,0.31,108,20.99698580153883,0.053168792816051705
0.04,0.31,132,25.148199378761408,0.0707517805790307
0.04,0.31,168,31.124999999999982,0.1656772385938883
0.04,0.31,204,36.5074898785425,0.31736671938571037
0.04,0.31,252,45.134800295857985,0.32212875213898096
0.04,0.31,300,54.28085299455533,0.39803388789204774
0.04,0.31,372,65.66586754569971,0.6099476876463492
0.04,0.32,60,12.7686875,0.025135233726421225
0.04,0.32,72,14.846218756675922,0.02781817408342054
0.04,0.32,84,16.932984481636844,0.036302894170214775
0.04,0.32,108,20.97886095026571,0.053856529541961934
0.04,0.32,132,24.939696175499897,0.06906884394465393
0.04,0.32,168,30.71581439393939,0.16534693019780675
0.04,0.32,204,37.56153846153847,0.3097050357946436
0.04,0.32,252,45.36335059171598,0.3029305763017915
0.04,0.32,300,52.87046279491832,0.38532038328891827
0.04,0.32,372,65.98711417440816,0.5524039613073978
0.04,0.33,60,12.7337125,0.025254997712835427
0.04,0.33,72,14.777205725272376,0.028227021610526946
0.04,0.33,84,16.884809723548877,0.03674026889603154
0.04,0.33,108,20.84276592369319,0.05391954692778486
0.04,0.33,132,24.75046107551931,0.0683909429651761
0.04,0.33,168,30.94128787878789,0.16812127898619106
0.04,0.33,204,37.45222672064779,0.2768080979868726
0.04,0.33,252,45.00998520710059,0.3296219840380169
0.04,0.33,300,52.75794010889292,0.38439815970785024
0.04,0.33,372,65.48007192088703,0.48529623702135055
0.04,0.34,60,12.6994375,0.0255429734752783
0.04,0.34,72,14.762540055543687,0.028516115560820454
0.04,0.34,84,16.731314977089305,0.0368469580136491
0.04,0.34,108,20.752875386689936,0.05337867359604905
0.04,0.34,132,24.87657736361871,0.07133779096835548
0.04,0.34,168,30.597727272727305,0.1735128518924469
0.04,0.34,204,36.889271255060734,0.29192161955186907
0.04,0.34,252,44.888683431952664,0.28773419715966553
0.04,0.34,300,52.90494555353904,0.456225054502586
0.04,0.34,372,65.03925681750071,0.483016628216264
0.04,0.35,60,12.58635,0.025251850344966496
0.04,0.35,72,14.683251441999577,0.028516651957551965
0.04,0.35,84,16.686614892645043,0.03631114826357193
0.04,0.35,108,20.747977314190543,0.05364551266920008
0.04,0.35,132,24.699936905455257,0.06977874284584938
0.04,0.35,168,30.87073863636364,0.17326377228986825
0.04,0.35,204,36.77267206477734,0.2949797288754108
0.04,0.35,252,45.070636094674555,0.3007866200043266
0.04,0.35,300,52.771098003629774,0.39105043954540053
0.04,0.35,372,64.27599640395566,0.48080775398661035
0.04,0.36,60,12.540625,0.025364146347344206
0.04,0.36,72,14.636744285409101,0.028170821012930832
0.04,0.36,84,16.67353295402634,0.036003136627431466
0.04,0.36,108,20.739113191084314,0.054610336118092115
0.04,0.36,132,24.64247233546883,0.0706401430968144
0.04,0.36,168,30.678124999999998,0.17191995275731253
0.04,0.36,204,36.65607287449392,0.24932621185332488
0.04,0.36,252,44.18398668639053,0.3243747804562807
0.04,0.36,300,53.02654264972776,0.4319824756284081
0.04,0.36,372,64.96823494156429,0.5022486873699309
0.04,0.37,60,12.5562375,0.025499696842576025
0.04,0.37,72,14.556985686819052,0.028205728580038062
0.04,0.37,84,16.545094619101025,0.03623358941696653
0.04,0.37,108,20.59157610851116,0.053408402079539584
0.04,0.37,132,24.55329062317996,0.07088271289626212
0.04,0.37,168,30.37604166666666,0.16291449584154977
0.04,0.37,204,35.997975708502004,0.2857772682211693
0.04,0.37,252,44.27496301775148,0.32945375228617596
0.04,0.37,300,51.76134301270416,0.4063383282169066
0.04,0.37,372,65.04015582858855,0.526911620434959
0.04,0.38,60,12.5320125,0.02530051507065932
0.04,0.38,72,14.559207434308908,0.02793551048603437
0.04,0.38,84,16.51235516425101,0.0364014005595432
0.04,0.38,108,20.374652970571912,0.054577062359687054
0.04,0.38,132,24.571490972626663,0.06967155081708647
0.04,0.38,168,30.29857954545458,0.18272315554401564
0.04,0.38,204,35.97672064777328,0.29845763093508615
0.04,0.38,252,44.426590236686394,0.3445514685140338
0.04,0.38,300,52.1347549909256,0.41474692617035624
0.04,0.38,372,64.4168414743782,0.4653054035089417
0.04,0.39,60,12.4072625,0.025587960669668425
0.04,0.39,72,14.428455458235417,0.028413699615411583
0.04,0.39,84,16.450724697869518,0.03642194534946073
0.04,0.39,108,20.35270088046322,0.055338438064350744
0.04,0.39,132,24.408415841584155,0.07019542319818385
0.04,0.39,168,30.328219696969686,0.170437110084088
0.04,0.39,204,36.559919028340104,0.2733719644316459
0.04,0.39,252,43.78014053254438,0.31628872430657434
0.04,0.39,300,52.09823049001815,0.41673299553080456
0.04,0.39,372,65.0602337428828,0.48561975420894854
0.04,0.4,60,12.3491,0.025424835274291797
0.04,0.4,72,14.376639606921595,0.028466692340168246
0.04,0.4,84,16.350734388194418,0.03612504464393133
0.04,0.4,108,20.18218053462363,0.05541205416078884
0.04,0.4,132,24.271549213744905,0.07018663138810073
0.04,0.4,168,30.0811553030303,0.16841355464289862
0.04,0.4,204,36.142510121457484,0.3044671638618543
0.04,0.4,252,44.30140532544379,0.3421392945489878
0.04,0.4,300,52.15607985480944,0.3437036215876243
0.04,0.4,372,63.94815702727001,0.5121808280539251
0.04,0.41,60,12.2977625,0.02539167440958369
0.04,0.41,72,14.357209997863706,0.02871414966020095
0.04,0.41,84,16.28032725611528,0.03640395588544098
0.04,0.41,108,20.195228841120013,0.0539135775136462
0.04,0.41,132,24.060182488837114,0.07117591619674137
0.04,0.41,168,29.994223484848476,0.1679142451614855
0.04,0.41,204,35.44473684210526,0.2765774718886497
0.04,0.41,252,43.93565088757396,0.31935757607957443
0.04,0.41,300,51.981624319419225,0.4558146000401678
0.04,0.41,372,63.117171111777054,0.4883256954213088
0.04,0.42,60,12.2404125,0.025385092170894862
0.04,0.42,72,14.223595385601365,0.028081868669069854
0.04,0.42,84,16.213907000567573,0.036489361091209045
0.04,0.42,108,20.034445149520113,0.054629357380065094
0.04,0.42,132,23.92062220927974,0.07011351571242135
0.04,0.42,168,29.941571969696977,0.1650429935423312
0.04,0.42,204,35.81032388663967,0.30523460637303296
0.04,0.42,252,43.8282174556213,0.2885781448655961
0.04,0.42,300,50.81919237749548,0.455914734423393
0.04,0.42,372,64.39526520827094,0.5789113385084274
0.04,0.43,60,12.2066875,0.025439267621495846
0.04,0.43,72,14.163597521897028,0.028424141924637835
0.04,0.43,84,16.118706480058698,0.03646697839041089
0.04,0.43,108,20.09328151027207,0.053689969553927984
0.04,0.43,132,23.952169481654053,0.06883179280016218
0.04,0.43,168,29.658901515151534,0.16546366859492434
0.04,0.43,204,35.690890688259124,0.27426499147521755
0.04,0.43,252,43.51497781065089,0.36158000061443196
0.04,0.43,300,50.367059891107075,0.42204961721347456
0.04,0.43,372,63.39166916391969,0.5411346310891455
0.04,0.44,60,12.0316625,0.02567846068582956
0.04,0.44,72,14.066214484084597,0.02862502962050759
0.04,0.44,84,16.045502997079065,0.03665359964655231
0.04,0.44,108,20.0073371936226,0.05496124329648578
0.04,0.44,132,23.801227916909344,0.07576522889924235
0.04,0.44,168,29.65814393939398,0.1811437668285146
0.04,0.44,204,35.18522267206476,0.30195845220688117
0.04,0.44,252,42.76146449704142,0.324940756456955
0.04,0.44,300,51.17196007259528,0.4163685979438804
0.04,0.44,372,62.036859454599934,0.6225630192516611
0.04,0.45,60,12.0181,0.02579371329538569
0.04,0.45,72,14.041412091433456,0.02835094939187119
0.04,0.45,84,15.974625192076084,0.03699411240342261
0.04,0.45,108,19.821031966367887,0.05461601007466585
0.04,0.45,132,23.562002523781786,0.07279029334801543
0.04,0.45,168,28.86922348484851,0.16738070440512784
0.04,0.45,204,35.4334008097166,0.26891993147227305
0.04,0.45,252,42.93361686390533,0.33801617815493923
0.04,0.45,300,50.484119782214194,0.45160163136529996
0.04,0.45,372,63.1564279292778,0.5765551840619986
0.04,0.46,60,12.0282625,0.025614594523525783
0.04,0.46,72,13.901281777397994,0.02833604779166476
0.04,0.46,84,15.867394825366503,0.036983321792284675
0.04,0.46,108,19.614559371777588,0.05508625140780712
0.04,0.46,132,23.658973985633846,0.06986209780052043
0.04,0.46,168,29.007575757575765,0.17210564150762725
0.04,0.46,204,34.864777327935236,0.3009379749654768
0.04,0.46,252,42.76775147928994,0.30512333088837
0.04,0.46,300,50.42899274047188,0.4333422353863943
0.04,0.46,372,61.50884027569675,0.4880362848957003
0.04,0.47,60,11.88005,0.025604123337134313
0.04,0.47,72,13.819173253578295,0.028587463534201205
0.04,0.47,84,15.763597602336755,0.037617232934687495
0.04,0.47,108,19.552708812564436,0.053944503231815134
0.04,0.47,132,23.34432634439915,0.07047862480653838
0.04,0.47,168,29.191477272727283,0.17287125920189103
0.04,0.47,204,34.71518218623481,0.2751691310143304
0.04,0.47,252,42.30362426035503,0.3082391465275173
0.04,0.47,300,49.916515426497305,0.40475956056744083
0.04,0.47,372,62.56907401857957,0.6556276865041303
0.04,0.48,60,11.846275,0.0258250990997489
0.04,0.48,72,13.789841914120911,0.028734712146075956
0.04,0.48,84,15.717084042803545,0.036795535852655895
0.04,0.48,108,19.44850083287063,0.053947769799569945
0.04,0.48,132,23.295331003688602,0.07179822415781742
0.04,0.48,168,28.874715909090916,0.17681620100415787
0.04,0.48,204,34.84473684210528,0.29936069219840544
0.04,0.48,252,42.008505917159766,0.31525892975040776
0.04,0.48,300,50.078947368421055,0.4614518210885828
0.04,0.48,372,61.75337129157927,0.5607073688895206
0.04,0.49,60,11.7815375,0.025656169214464803
0.04,0.49,72,13.706900234992522,0.028198406517209087
0.04,0.49,84,15.62924816922076,0.037043196820277915
0.04,0.49,108,19.427560085666695,0.055567334930976486
0.04,0.49,132,23.102213162492728,0.07212518960091899
0.04,0.49,168,28.807007575757563,0.17268143709116243
0.04,0.49,204,34.403441295546536,0.27896373104570293
0.04,0.49,252,41.65791420118343,0.3453023568612715
0.04,0.49,300,49.22686025408349,0.4343890074528101
0.04,0.49,372,60.49295774647887,0.5457537891210383
0.04,0.5,60,11.6716125,0.025612320918508312
0.04,0.5,72,13.570273445844908,0.02880523694580789
0.04,0.5,84,15.543890250148815,0.037190128585524056
0.04,0.5,108,19.1702823828032,0.05551927663560369
0.04,0.5,132,23.027227722772277,0.07093761400203605
0.04,0.5,168,28.085321969697013,0.17235512164457986
0.04,0.5,192,32.14329411764706,0.11744613017080059
0.04,0.5,204,33.92712550607287,0.28807758828321733
0.04,0.5,228,38.10097374425555,0.18502579743360806
0.04,0.5,252,41.557137573964496,0.32165943011306275
0.04,0.5,288,47.08472758472754,0.2535356987240279
0.04,0.5,300,48.987976406533576,0.43041398761375244
0.04,0.5,336,54.63847780126848,0.3148222468771985
0.04,0.5,372,60.92987713515132,0.5508129527794474
0.04,0.5,408,65.19718439455282,0.4208124783307164
0.04,0.5,492,78.48709677419357,0.5162721282326438
0.04,0.5,600,96.06601248884927,0.6049710689122024
0.04,0.51,60,11.6371375,0.02580458073672337
0.04,0.51,72,13.575571459089938,0.028806917694463672
0.04,0.51,84,15.450641637941768,0.0368467314115777
0.04,0.51,108,19.151959228999758,0.05527773205436954
0.04,0.51,132,22.7765482430596,0.07258855083973484
0.04,0.51,168,28.367803030303048,0.1886343334575732
0.04,0.51,192,31.99605882352942,0.123219516037397
0.04,0.51,204,33.66882591093119,0.301224323633063
0.04,0.51,228,37.57267731465114,0.17323421788553775
0.04,0.51,252,42.04289940828402,0.34686514322174167
0.04,0.51,288,46.8858000858001,0.24613583244743617
0.04,0.51,300,49.03130671506352,0.3998010083093039
0.04,0.51,336,54.65722710581952,0.32107439339367627
0.04,0.51,372,60.18010188792329,0.564235380642323
0.04,0.51,408,65.67740154582258,0.4662897926371629
0.04,0.51,492,78.78675721561967,0.5066734105139044
0.04,0.51,600,95.27029438001783,0.6346497420273064
0.04,0.52,60,11.5500875,0.02607573872202598
0.04,0.52,72,13.439275795770135,0.028751084833850863
0.04,0.52,84,15.353627642343955,0.03675037214530937
0.04,0.52,108,19.012215435868953,0.05477605133354371
0.04,0.52,132,22.78945835760046,0.0724620688796537
0.04,0.52,168,28.044696969696954,0.17224747846124158
0.04,0.52,192,31.642450980392127,0.12520445795438634
0.04,0.52,204,34.43056680161944,0.30903234340766217
0.04,0.52,228,37.541665327634384,0.17161296189602096
0.04,0.52,252,41.407174556213015,0.3250672039318691
0.04,0.52,288,46.555212355212355,0.24799941495915248
0.04,0.52,300,48.94827586206894,0.41372627291141023
0.04,0.52,336,53.640647602091896,0.30049331150003605
0.04,0.52,372,59.69643392268503,0.553475437758653
0.04,0.52,408,64.85167464114835,0.5080124558488724
0.04,0.52,492,78.15755517826823,0.557377754509256
0.04,0.52,600,95.27252453166817,0.6445776868473031
0.04,0.53,60,11.470225,0.026094361201342918
0.04,0.53,72,13.358299508651998,0.028706646380143294
0.04,0.53,84,15.154145382560182,0.0374519002382147
0.04,0.53,108,18.9159593876418,0.054804742955004274
0.04,0.53,132,22.579960201902548,0.07224565200602487
0.04,0.53,168,28.116761363636375,0.1774503764585526
0.04,0.53,192,31.613882352941204,0.12556789971789753
0.04,0.53,204,33.36052631578946,0.2895989662637276
0.04,0.53,228,37.039496095381935,0.1869561175819229
0.04,0.53,252,40.865754437869825,0.3173596763769139
0.04,0.53,288,46.380866580866616,0.24589419356296785
0.04,0.53,300,48.70440108892922,0.3953375788297557
0.04,0.53,336,53.97223767664408,0.32521335743497054
0.04,0.53,372,59.97272999700332,0.5389299280888653
0.04,0.53,408,64.75432462274564,0.4213859059057035
0.04,0.53,492,77.1786078098472,0.5822405826060142
0.04,0.53,600,93.95249776984834,0.6842364074866657
0.04,0.54,60,11.3959875,0.026037920060221428
0.04,0.54,72,13.231766716513567,0.028616124762073075
0.04,0.54,84,15.070365602115265,0.03742210899836321
0.04,0.54,108,18.665602443087174,0.054046640649986925
0.04,0.54,132,22.207872257814017,0.0720008682355698
0.04,0.54,168,27.817329545454545,0.1794803786254079
0.04,0.54,192,31.483372549019617,0.12463573857410777
0.04,0.54,204,33.77469635627529,0.3048473673260908
0.04,0.54,228,37.07915287463444,0.18086457835507597
0.04,0.54,252,40.86039201183432,0.3499762952095542
0.04,0.54,288,46.34706134706137,0.25031081456538545
0.04,0.54,300,47.12817604355717,0.4200844687287502
0.04,0.54,336,52.706464893735394,0.3382227500234929
0.04,0.54,372,59.1012885825592,0.5647179559957036
0.04,0.54,408,64.05005520794997,0.43389471350782877
0.04,0.54,492,76.98709677419353,0.5094888919836172
0.04,0.54,600,93.4362176628011,0.7212090405249975
0.04,0.55,60,11.348225,0.025827341667218867
0.04,0.55,72,13.181510361033967,0.028961473193606993
0.04,0.55,84,15.014383210819938,0.037868359439328786
0.04,0.55,108,18.635876893789167,0.05554492372386672
0.04,0.55,132,22.17178703164433,0.07283637479619763
0.04,0.55,168,27.570549242424253,0.17537105910277748
0.04,0.55,192,31.171882352941182,0.12425019242465164
0.04,0.55,204,32.660526315789475,0.29935027003501175
0.04,0.55,228,36.58537134042486,0.1809225275723468
0.04,0.55,252,39.97984467455621,0.3399619973849053
0.04,0.55,288,45.63264693264692,0.26013623224142207
0.04,0.55,300,47.39677858439202,0.43072719457691144
0.04,0.55,336,53.46494937131413,0.3123332370786928
0.04,0.55,372,58.23104584956546,0.6268931760785539
0.04,0.55,408,64.55244755244756,0.46807928771563356
0.04,0.55,492,76.2295415959253,0.5037310382737793
0.04,0.55,600,93.30374665477252,0.7757998083053594
0.04,0.56,60,11.223225,0.026053111597271642
0.04,0.56,72,13.069215979491556,0.029015828399631058
0.04,0.56,84,14.842878303362546,0.03705463401243519
0.04,0.56,108,18.38393352899184,0.054556740529779234
0.04,0.56,132,22.10073286740439,0.07264442835233748
0.04,0.56,168,27.38409090909089,0.16956916680165604
0.04,0.56,192,30.954862745098044,0.11927934593148422
0.04,0.56,204,32.82186234817812,0.280657284112158
0.04,0.56,228,36.34849117845549,0.17981666173805655
0.04,0.56,252,39.53402366863905,0.3199398389356837
0.04,0.56,288,45.22393822393822,0.2617966573236048
0.04,0.56,300,46.96120689655172,0.38203755683255336
0.04,0.56,336,52.6249582730611,0.3383092719766557
0.04,0.56,372,58.6242133652982,0.5881455837256767
0.04,0.56,408,63.59744203165257,0.4256600700291522
0.04,0.56,492,76.55212224108658,0.5063748769661687
0.04,0.56,600,91.74152542372885,0.7644071733685988
0.04,0.57,60,11.0959125,0.026089446887741126
0.04,0.57,72,13.01644947660756,0.02884838866599804
0.04,0.57,84,14.796198623973867,0.03728531655297096
0.04,0.57,108,18.307785357341157,0.05559888597986914
0.04,0.57,132,21.814963113958466,0.07321324565982947
0.04,0.57,168,27.161553030303057,0.16954785614335363
0.04,0.57,192,30.570980392156894,0.12426030753410508
0.04,0.57,204,32.02327935222673,0.3006596887824978
0.04,0.57,228,36.20159398399586,0.17719591374503718
0.04,0.57,252,39.31194526627219,0.3590892380802454
0.04,0.57,288,44.71419991419993,0.23922629315852895
0.04,0.57,300,47.36569872958259,0.43709173224950326
0.04,0.57,336,52.13870034494269,0.308970555307604
0.04,0.57,372,57.866946359005084,0.5546043463123874
0.04,0.57,408,63.37734633787265,0.517883014759846
0.04,0.57,492,75.52122241086587,0.5216882220945336
0.04,0.57,600,92.90008920606599,0.698001203836275
0.04,0.58,60,11.0389,0.0259036887645208
0.04,0.58,72,12.820262764366587,0.029058511980294244
0.04,0.58,84,14.6602018356244,0.03685408219547787
0.04,0.58,108,18.28061791068453,0.05595984790180819
0.04,0.58,132,21.678363424577746,0.07139435046111706
0.04,0.58,168,26.93380681818179,0.16900181965462346
0.04,0.58,192,30.586686274509773,0.1235294177235584
0.04,0.58,204,32.82287449392712,0.3083365010354434
