$r$,$N$,data,error
0.0023713737,672,0.02091764705882351,0.002906328704556053
0.0023713737,864,0.009532110091743118,0.0018969813583655823
0.0023713737,1116,0.00517947482534329,0.001681474956876698
0.0023713737,1440,0.0007976032993541359,0.0005453463073858105
0.0023713737,1860,0.0,0.0
0.0023713737,2388,0.0,0.0
0.0023713737,3084,0.0,0.0
0.0023713737,3972,0.0,0.0
0.0023713737,5124,0.0,0.0
0.0023713737,6600,0.0,
0.0031622777,312,0.1674750000000001,0.010847311350677655
0.0031622777,396,0.08736000000000001,0.007747738886788768
0.0031622777,516,0.04284615384615386,0.0047407019860364
0.0031622777,672,0.02194117647058822,0.0033679278635094447
0.0031622777,864,0.0074495412844036695,0.0016155039505876812
0.0031622777,1116,0.0025897374126716455,0.001457118042239132
0.0031622777,1440,1.945373900863746e-05,1.9453739008637374e-05
0.0031622777,1860,0.00013205678441729945,0.00013205678441729937
0.0031622777,2388,0.0006031032403092275,0.0006031032403092276
0.0031622777,3084,0.0,0.0
0.0031622777,3972,0.0,0.0
0.0031622777,5124,0.0,0.0
0.0031622777,6600,0.0,
0.004216965,312,0.1402500000000001,0.010317588872412943
0.004216965,396,0.06886,0.00607720600546276
0.004216965,516,0.025184615384615368,0.0036998982256294588
0.004216965,672,0.012576470588235284,0.002065134932865519
0.004216965,864,0.002394495412844036,0.0006454588984063423
0.004216965,1116,0.000505902192242833,0.0002444094755856858
0.004216965,1440,0.0007392420823282234,0.0007392420823282235
0.004216965,1860,0.0,0.0
0.004216965,2388,0.0,0.0
0.004216965,3084,0.0,0.0
0.004216965,3972,0.0,0.0
0.004216965,5124,0.0,0.0
0.004216965,6600,0.0,
0.0056234133,312,0.10699999999999998,0.008487448779626667
0.0056234133,396,0.052819999999999985,0.005387492243397937
0.0056234133,516,0.01844615384615383,0.002313634146128908
0.0056234133,672,0.004482352941176469,0.0008578686195019138
0.0056234133,864,0.0014678899082568807,0.0005557899380039499
0.0056234133,1116,3.6135870874488076e-05,2.6915883040092727e-05
0.0056234133,1440,0.0,0.0
0.0056234133,1860,0.0,0.0
0.0056234133,2388,0.0,0.0
0.0056234133,3084,0.0,0.0
0.0056234133,3972,0.0,0.0
0.0056234133,5124,0.0,0.0
0.0056234133,6600,0.0,
0.0074989421,312,0.06229999999999997,0.00546578766829033
0.0074989421,396,0.03735999999999998,0.004093138671506774
0.0074989421,516,0.01175384615384615,0.002149215892235287
0.0074989421,672,0.0031647058823529406,0.000897860853690645
0.0074989421,864,0.0008715596330275229,0.0004326735451822113
0.0074989421,1116,0.0,0.0
0.0074989421,1440,0.0,0.0
0.0074989421,1860,0.0,0.0
0.0074989421,2388,0.0,0.0
0.0074989421,3084,0.0,0.0
0.0074989421,3972,0.0,0.0
0.0074989421,5124,0.0,0.0
0.0074989421,6600,0.0,
0.01,312,0.042024999999999986,0.004573203315353895
0.01,396,0.01743999999999999,0.00230745980913446
0.01,516,0.007615384615384615,0.0016938522390093139
0.01,672,0.0018352941176470584,0.0006122591183559547
0.01,864,0.00022018348623853212,0.00013781320531709566
0.01,1116,0.0,0.0
0.01,1440,0.0,0.0
0.01,1860,0.0,0.0
0.01,2388,0.0,0.0
0.01,3084,0.0,0.0
0.01,3972,0.0,0.0
0.01,5124,0.0,0.0
0.01,6600,0.0,
