kind,,,is_path,is_path,slc,slc
,,,data,error,data,error
N,p,r,,,,
12,0.0,0.0,1.0,0.0,0.0833333333333332,3.2701812355603555e-19
12,0.0,0.1,1.0,0.0,0.00613553254013056,0.00045126823578697214
12,0.0,0.2,1.0,0.0,3.941104139735787e-05,2.6712071526329982e-05
12,0.0,0.3,1.0,0.0,7.882208279471574e-06,1.5115217669688865e-05
12,0.0,0.4,1.0,0.0,0.0,0.0
12,0.0,0.5,1.0,0.0,0.0,0.0
12,0.0,0.6,1.0,0.0,0.0,0.0
12,0.0,0.7,1.0,0.0,0.0,0.0
12,0.0,0.8,1.0,0.0,7.882208279471574e-06,9.256142660459483e-06
12,0.0,0.9,1.0,0.0,0.0,0.0
12,0.0,1.0,1.0,0.0,0.0,0.0
12,0.0125,0.0,1.0,0.0,0.0833333333333332,3.2727010418517247e-19
12,0.0125,0.1,1.0,0.0,0.022880700846142406,0.0006157548980473476
12,0.0125,0.2,1.0,0.0,0.011493493263324366,0.000470942840705397
12,0.0125,0.3,1.0,0.0,0.008563060695978892,0.00043726762319704077
12,0.0125,0.4,1.0,0.0,0.007674251140650055,0.0003971586218108823
12,0.0125,0.5,1.0,0.0,0.006848016338627823,0.00038293474020289337
12,0.0125,0.6,1.0,0.0,0.007874236410274066,0.0003205011934841294
12,0.0125,0.7,1.0,0.0,0.007782615398917008,0.0003486435828673501
12,0.0125,0.8,1.0,0.0,0.008603069779316972,0.00035543004322192626
12,0.0125,0.9,1.0,0.0,0.010761169697544514,0.0004491184500465018
12,0.0125,1.0,1.0,0.0,0.012834378716697738,0.00047373396377035806
12,0.025,0.0,1.0,0.0,0.0833333333333332,3.2727010418517247e-19
12,0.025,0.1,1.0,0.0,0.03464657606424982,0.0008062665868466475
12,0.025,0.2,1.0,0.0,0.020816398051531137,0.0005441741759842733
12,0.025,0.3,1.0,0.0,0.01601539740888203,0.0005190793754605271
12,0.025,0.4,1.0,0.0,0.014654560052382871,0.0004825748065716572
12,0.025,0.5,1.0,0.0,0.013336835874477357,0.00046969893960792435
12,0.025,0.6,1.0,0.0,0.013987410114854553,0.00047113074106781155
12,0.025,0.7,1.0,0.0,0.014666277515683588,0.00047477147559305043
12,0.025,0.8,1.0,0.0,0.015906135412326758,0.00047629818051399866
12,0.025,0.9,1.0,0.0,0.01907120941460196,0.0005058405464841619
12,0.025,1.0,1.0,0.0,0.02304389977418094,0.0005096850411229226
12,0.0375,0.0,0.9996374184191443,0.00030103609118895463,0.0833333333333332,3.2727010418517247e-19
12,0.0375,0.1,1.0,0.0,0.0440181773626448,0.0008038566296992828
12,0.0375,0.2,1.0,0.0,0.029048537531068327,0.0005866466071362155
